dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
11_cobranded,off,False,ab,0,0.7892,0.17775,0.49976,0.61905,0.41902,0.32026,0.81674,0.58303,2.124175
11_cobranded,off,False,ab,1,0.7978,0.17786,0.51159,0.63337,0.42909,0.32765,0.8215,0.59849,1.936722
11_cobranded,off,False,ab,2,0.7884,0.18032,0.49086,0.61781,0.40719,0.32813,0.82212,0.59586,1.980588
11_cobranded,off,False,ann,0,0.7875,0.1455,0.38743,0.70293,0.26741,0.30746,0.81015,0.58637,8.251992
11_cobranded,off,False,ann,1,0.7948,0.14165,0.41068,0.70513,0.28971,0.32205,0.81863,0.59188,7.144407
11_cobranded,off,False,ann,2,0.7918,0.14467,0.48286,0.63905,0.38802,0.31176,0.81294,0.58734,6.309286
11_cobranded,off,False,bnb,0,0.7447,0.2004,0.53216,0.49321,0.5778,0.24594,0.7754,0.50633,0.031226
11_cobranded,off,False,bnb,1,0.7554,0.18758,0.54887,0.50372,0.60292,0.27288,0.78909,0.53396,0.029083
11_cobranded,off,False,bnb,2,0.7477,0.19406,0.5306,0.49686,0.56926,0.25432,0.77992,0.52554,0.028389
11_cobranded,off,False,cb,0,0.8028,0.13615,0.53904,0.65326,0.45881,0.35298,0.83271,0.6261,6.214641
11_cobranded,off,False,cb,1,0.8081,0.13278,0.54124,0.66006,0.45867,0.36379,0.8376,0.62992,6.166352
11_cobranded,off,False,cb,2,0.8023,0.13494,0.53559,0.65068,0.45509,0.35688,0.83577,0.63029,6.189727
11_cobranded,off,False,dt,0,0.7331,0.2669,0.46673,0.4687,0.46478,0.11875,0.64397,0.35234,0.599301
11_cobranded,off,False,dt,1,0.7349,0.2651,0.46412,0.46309,0.46515,0.11908,0.64422,0.34741,0.596391
11_cobranded,off,False,dt,2,0.7225,0.2775,0.46231,0.44917,0.47625,0.10935,0.64053,0.34512,0.611012
11_cobranded,off,False,gnb,0,0.7188,0.25288,0.57446,0.46349,0.75527,0.27071,0.78202,0.50615,0.033536
11_cobranded,off,False,gnb,1,0.6704,0.30249,0.55663,0.41663,0.83833,0.28125,0.79129,0.51648,0.033993
11_cobranded,off,False,gnb,2,0.7253,0.24453,0.57431,0.46935,0.73972,0.27967,0.79373,0.51922,0.032944
11_cobranded,off,False,knn,0,0.7716,0.16511,0.45954,0.56684,0.38639,0.22257,0.74645,0.47656,0.11971
11_cobranded,off,False,knn,1,0.7815,0.1601,0.46798,0.58633,0.38938,0.2346,0.75405,0.48357,0.078339
11_cobranded,off,False,knn,2,0.7765,0.16666,0.469,0.57923,0.39401,0.21371,0.74026,0.46895,0.078776
11_cobranded,off,False,lda,0,0.7974,0.14099,0.51157,0.64893,0.4222,0.33085,0.82064,0.59411,0.110367
11_cobranded,off,False,lda,1,0.7999,0.13823,0.50458,0.64863,0.41288,0.34,0.82614,0.59784,0.121553
11_cobranded,off,False,lda,2,0.7975,0.14004,0.51381,0.64458,0.42715,0.33073,0.8224,0.60026,0.114906
11_cobranded,off,False,lgbm,0,0.8028,0.13736,0.54331,0.64986,0.46677,0.34558,0.82834,0.61844,0.310179
11_cobranded,off,False,lgbm,1,0.8051,0.13482,0.53957,0.64703,0.46272,0.3533,0.8329,0.62084,0.304393
11_cobranded,off,False,lgbm,2,0.8024,0.13738,0.54089,0.64703,0.46467,0.34304,0.82854,0.61689,0.328982
11_cobranded,off,False,lr,0,0.7951,0.13977,0.49718,0.64853,0.4031,0.33301,0.82281,0.60022,0.121215
11_cobranded,off,False,lr,1,0.801,0.13649,0.5005,0.65765,0.40397,0.34346,0.82873,0.60625,0.124347
11_cobranded,off,False,lr,2,0.8007,0.13893,0.51355,0.6608,0.41996,0.33375,0.82438,0.60543,0.134215
11_cobranded,off,False,rf,0,0.8023,0.13809,0.51792,0.66877,0.4226,0.33967,0.82557,0.61139,5.110247
11_cobranded,off,False,rf,1,0.8057,0.13523,0.51169,0.67373,0.41248,0.34784,0.83005,0.62031,4.973123
11_cobranded,off,False,rf,2,0.7972,0.13812,0.50025,0.65357,0.40519,0.33892,0.82578,0.61242,5.216469
11_cobranded,off,False,tabnet,0,0.7303,0.17048,0.58667,0.47707,0.76164,0.32526,0.81925,0.58469,41.63596
11_cobranded,off,False,tabnet,1,0.7434,0.16826,0.59412,0.48729,0.76094,0.33768,0.82527,0.59871,29.523879
11_cobranded,off,False,tabnet,2,0.7459,0.16746,0.58703,0.49507,0.72096,0.32076,0.81611,0.60054,31.367029
