dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,off,False,ab,0,0.83777,0.2424,0.09441,0.50943,0.05202,0.11015,0.66889,0.29128,0.330299
06_lendingclub,off,False,ab,1,0.84059,0.242,0.09912,0.44444,0.05578,0.09536,0.66188,0.26671,0.707606
06_lendingclub,off,False,ab,2,0.83741,0.24199,0.06486,0.4186,0.03516,0.07651,0.6385,0.25471,0.712689
06_lendingclub,off,False,ann,0,0.83746,0.13041,0.0,0.0,0.0,0.09623,0.66198,0.27175,87.82323
06_lendingclub,off,False,ann,1,0.84278,0.12697,0.0,0.0,0.0,0.09869,0.65682,0.27298,94.973919
06_lendingclub,off,False,ann,2,0.8396,0.12901,0.0,0.0,0.0,0.09279,0.65364,0.27038,95.838658
06_lendingclub,off,False,bnb,0,0.83526,0.13128,0.00755,0.18182,0.00385,0.08197,0.6406,0.25631,0.015704
06_lendingclub,off,False,bnb,1,0.84466,0.12725,0.03876,0.71429,0.01992,0.08076,0.63607,0.25892,0.025548
06_lendingclub,off,False,bnb,2,0.83584,0.13223,0.06093,0.36957,0.0332,0.06154,0.6207,0.24259,0.031037
06_lendingclub,off,False,cb,0,0.83495,0.13131,0.07381,0.42,0.04046,0.09135,0.65835,0.26771,10.508606
06_lendingclub,off,False,cb,1,0.83808,0.12788,0.08171,0.37705,0.04582,0.09943,0.66928,0.26382,9.343333
06_lendingclub,off,False,cb,2,0.83709,0.13231,0.06475,0.40909,0.03516,0.07434,0.64113,0.24851,8.767206
06_lendingclub,off,False,dt,0,0.741,0.259,0.22347,0.21795,0.22929,0.00883,0.5348,0.17525,0.111827
06_lendingclub,off,False,dt,1,0.74945,0.25055,0.22027,0.21565,0.2251,0.00979,0.53618,0.17037,0.202331
06_lendingclub,off,False,dt,2,0.73183,0.26817,0.1985,0.19065,0.20703,0.00276,0.51956,0.16666,0.074773
06_lendingclub,off,False,gnb,0,0.78046,0.17746,0.30936,0.31653,0.3025,0.10241,0.66715,0.26969,0.036198
06_lendingclub,off,False,gnb,1,0.76574,0.19863,0.29699,0.28114,0.31474,0.07975,0.64468,0.24968,0.041292
06_lendingclub,off,False,gnb,2,0.76441,0.18749,0.30241,0.28799,0.31836,0.09241,0.65827,0.26333,0.026145
06_lendingclub,off,False,knn,0,0.81898,0.15186,0.09404,0.2521,0.0578,0.02194,0.57491,0.19429,2.535057
06_lendingclub,off,False,knn,1,0.82524,0.14557,0.17699,0.34091,0.11952,0.04852,0.59454,0.2147,2.780172
06_lendingclub,off,False,knn,2,0.82143,0.15163,0.10377,0.26613,0.06445,0.02282,0.57496,0.19274,2.759611
06_lendingclub,off,False,lda,0,0.83558,0.12896,0.06417,0.42857,0.03468,0.11886,0.6764,0.28939,0.271692
06_lendingclub,off,False,lda,1,0.84278,0.12574,0.11307,0.5,0.06375,0.11418,0.67398,0.28539,0.108824
06_lendingclub,off,False,lda,2,0.83866,0.12812,0.10122,0.47541,0.05664,0.114,0.67681,0.28642,0.33168
06_lendingclub,off,False,lgbm,0,0.83088,0.13607,0.08475,0.35211,0.04817,0.07175,0.63355,0.24681,832.268029
06_lendingclub,off,False,lgbm,1,0.83526,0.13008,0.09932,0.35366,0.05777,0.08938,0.65241,0.26206,729.926446
06_lendingclub,off,False,lgbm,2,0.8302,0.13591,0.06873,0.28571,0.03906,0.06265,0.62507,0.23316,695.756494
06_lendingclub,off,False,lr,0,0.83714,0.12859,0.02256,0.46154,0.01156,0.11392,0.67366,0.28753,0.161816
06_lendingclub,off,False,lr,1,0.84215,0.12532,0.04906,0.46429,0.0259,0.11184,0.66946,0.28285,0.218702
06_lendingclub,off,False,lr,2,0.84242,0.12746,0.06331,0.68,0.0332,0.1095,0.67455,0.28448,0.058892
06_lendingclub,off,False,rf,0,0.83464,0.13147,0.01493,0.23529,0.00771,0.08872,0.65396,0.26108,1.897875
06_lendingclub,off,False,rf,1,0.84466,0.12897,0.06767,0.6,0.03586,0.07958,0.64742,0.2627,1.399447
06_lendingclub,off,False,rf,2,0.83803,0.13177,0.03724,0.4,0.01953,0.07616,0.64683,0.24775,1.947562
06_lendingclub,off,False,tabnet,0,0.76699,0.22826,0.25451,0.26514,0.2447,0.07303,0.63954,0.24655,12.559522
06_lendingclub,off,False,tabnet,1,0.55121,0.23837,0.31794,0.20888,0.66534,0.06938,0.63625,0.24107,8.745226
06_lendingclub,off,False,tabnet,2,0.64474,0.22495,0.32177,0.2319,0.52539,0.0711,0.64073,0.24184,23.549864
06_lendingclub,off,False,tabpfn,0,0.83714,0.12818,0.04412,0.48,0.02312,0.11563,0.67716,0.29033,10.301792
06_lendingclub,off,False,tabpfn,1,0.84215,0.12527,0.05263,0.46667,0.02789,0.10899,0.66881,0.28251,6.913368
06_lendingclub,off,False,tabpfn,2,0.84054,0.12858,0.04143,0.57895,0.02148,0.10404,0.67318,0.27348,6.722345
06_lendingclub,off,False,xgb,0,0.82587,0.14462,0.13932,0.35433,0.08671,0.06016,0.61859,0.23568,228.891945
06_lendingclub,off,False,xgb,1,0.8265,0.1396,0.14241,0.31944,0.09163,0.07291,0.63885,0.2429,184.973
06_lendingclub,off,False,xgb,2,0.81516,0.14897,0.11411,0.24675,0.07422,0.04062,0.60142,0.20845,171.927149
